table_name,field_name,data_type,unit,description
descriptive_statistics.csv,analysis_type,string,-,分析类型。
descriptive_statistics.csv,dataset,string,-,统计对象来源数据表。
descriptive_statistics.csv,group_name,string,-,统计分组名称，如病种、病原体或地区。
descriptive_statistics.csv,metric_name,string,-,统计指标名称。
descriptive_statistics.csv,observations,integer,期/条,参与统计的观测数量。
descriptive_statistics.csv,mean,float,按指标类型,指标均值。
descriptive_statistics.csv,min,float,按指标类型,指标最小值。
descriptive_statistics.csv,max,float,按指标类型,指标最大值。
descriptive_statistics.csv,sum,float,按指标类型,指标总和。
descriptive_statistics.csv,latest_period,string,-,最新观测期。
descriptive_statistics.csv,latest_value,float,按指标类型,最新观测值。
descriptive_statistics.csv,note,string,-,统计说明。
time_series_summary.csv,series_name,string,-,时间序列名称。
time_series_summary.csv,frequency,string,-,时间粒度，月度或周度。
time_series_summary.csv,start_period,string,-,序列起始时期。
time_series_summary.csv,end_period,string,-,序列结束时期。
time_series_summary.csv,observations,integer,期,序列观测期数量。
time_series_summary.csv,latest_value,float,按指标类型,最新一期数值。
time_series_summary.csv,previous_period,string,-,上一期时期。
time_series_summary.csv,previous_value,float,按指标类型,上一期数值。
time_series_summary.csv,change,float,按指标类型,最新值相对上一期变化量。
time_series_summary.csv,change_percent,float,%,最新值相对上一期变化率。
time_series_summary.csv,recent_4_period_avg,float,按指标类型,最近 4 期均值。
time_series_summary.csv,trend_direction,string,-,趋势方向，上升、下降或持平。
correlation_matrix.csv,x_variable,string,-,气象变量名称。
correlation_matrix.csv,y_variable,string,-,健康监测变量名称。
correlation_matrix.csv,sample_size,integer,周,参与相关性计算的样本量。
correlation_matrix.csv,pearson_correlation,float,-,Pearson 相关系数。
correlation_matrix.csv,abs_correlation,float,-,相关系数绝对值。
correlation_matrix.csv,strength,string,-,相关强度标签。
correlation_matrix.csv,direction,string,-,相关方向，正相关或负相关。
cluster_results.csv,region,string,-,城市周度记录标识字段。
cluster_results.csv,city,string,-,城市周度记录标识字段。
cluster_results.csv,year_week,string,-,城市周度记录标识字段。
cluster_results.csv,report_year,integer,年,ISO 周所属年份。
cluster_results.csv,report_week,integer,周,ISO 周次。
cluster_results.csv,cluster_id,integer,-,K-Means 聚类编号。
cluster_results.csv,risk_level,string,-,风险等级，低风险、中风险或高风险。
cluster_results.csv,risk_score,float,按指标类型,根据健康监测指标计算的风险得分。
cluster_results.csv,avg_temperature,float,按字段原单位,用于聚类的气象特征。
cluster_results.csv,avg_humidity,float,按字段原单位,用于聚类的气象特征。
cluster_results.csv,precipitation_total,float,按字段原单位,用于聚类的气象特征。
cluster_results.csv,wind_speed,float,按字段原单位,用于聚类的气象特征。
cluster_results.csv,influenza_ili_percent_north,float,%/起,用于聚类的健康监测特征。
cluster_results.csv,influenza_ili_percent_south,float,%/起,用于聚类的健康监测特征。
cluster_results.csv,influenza_outbreak_count,float,%/起,用于聚类的健康监测特征。
cluster_results.csv,resp_outpatient_ili_influenza_positive_rate,float,%/起,用于聚类的健康监测特征。
cluster_results.csv,resp_outpatient_ili_covid_positive_rate,float,%/起,用于聚类的健康监测特征。
cluster_results.csv,resp_outpatient_ili_rsv_positive_rate,float,%/起,用于聚类的健康监测特征。
cluster_results.csv,resp_outpatient_ili_mycoplasma_positive_rate,float,%/起,用于聚类的健康监测特征。
cluster_results.csv,resp_hospital_sari_influenza_positive_rate,float,%/起,用于聚类的健康监测特征。
cluster_results.csv,resp_hospital_sari_covid_positive_rate,float,%/起,用于聚类的健康监测特征。
anomaly_detection_results.csv,series_name,string,-,异常检测序列名称。
anomaly_detection_results.csv,period,string,-,异常发生时期。
anomaly_detection_results.csv,value,float,按指标类型,该时期观测值。
anomaly_detection_results.csv,mean,float,按指标类型,该序列均值。
anomaly_detection_results.csv,stddev,float,按指标类型,该序列标准差。
anomaly_detection_results.csv,z_score,float,-,标准化异常分数。
anomaly_detection_results.csv,anomaly_type,string,-,异常类型，异常高值或异常低值。
keyword_sentiment_analysis.csv,source_table,string,-,关键词来源数据表。
keyword_sentiment_analysis.csv,keyword,string,-,统计关键词。
keyword_sentiment_analysis.csv,category,string,-,关键词类别。
keyword_sentiment_analysis.csv,occurrences,integer,次,关键词出现次数。
keyword_sentiment_analysis.csv,document_count,integer,条,包含该关键词的记录数量。
keyword_sentiment_analysis.csv,attention_label,string,-,关注标签，如常规监测关注或风险关注。
keyword_sentiment_analysis.csv,explanation,string,-,结果解释。
analysis_summary.json,generated_at,datetime,-,分析结果生成时间。
analysis_summary.json,output_dir,string,-,分析结果输出目录。
analysis_summary.json,descriptive_statistics_rows,integer,行,描述统计结果行数。
analysis_summary.json,time_series_summary_rows,integer,行,时间序列结果行数。
analysis_summary.json,correlation_pairs,integer,组,相关性变量对数量。
analysis_summary.json,cluster_rows,integer,行,聚类结果行数。
analysis_summary.json,cluster_counts,object,-,不同风险等级的记录数量。
analysis_summary.json,anomaly_rows,integer,行,异常检测结果行数。
analysis_summary.json,keyword_sentiment_rows,integer,行,关键词分析结果行数。
analysis_summary.json,top_correlations,array,-,相关性最高的变量组合。
analysis_summary.json,top_anomalies,array,-,异常程度最高的记录。
analysis_summary.json,top_keywords,array,-,出现频次最高的关键词。
analysis_summary.json,core_conclusions,array,-,核心分析结论。
analysis_summary.json,application_directions,array,-,应用方向。
analysis_summary.json,feasibility,object,-,技术、成本、需求和数据可用性分析。
