series_name,period,value,mean,stddev,z_score,anomaly_type
流感样病例暴发疫情数,2025-W48,1541,97.7159,273.4133,5.2788,异常高值
南方省份 ILI%,2025-W49,11.1,4.6351,1.4553,4.4424,异常高值
流感样病例暴发疫情数,2025-W47,1234,97.7159,273.4133,4.1559,异常高值
流感样病例暴发疫情数,2025-W49,1219,97.7159,273.4133,4.1011,异常高值
北方省份 ILI%,2025-W48,9.1,3.9532,1.289,3.9928,异常高值
流行性感冒月度发病数,2025-12,6727614,1021512.7857,1534376.7167,3.7188,异常高值
北方省份 ILI%,2025-W47,8.6,3.9532,1.289,3.6049,异常高值
门急诊流感样病例-人偏肺病毒阳性率,2026-W18,4.9,0.8,1.1495,3.5669,异常高值
门急诊流感样病例-人偏肺病毒阳性率,2026-W19,4.9,0.8,1.1495,3.5669,异常高值
住院严重急性呼吸道感染病例-普通冠状病毒阳性率,2025-W37,7.4,2.3667,1.4131,3.5619,异常高值
住院严重急性呼吸道感染病例-人偏肺病毒阳性率,2026-W19,4.5,0.7646,1.0723,3.4836,异常高值
南方省份 ILI%,2024-W01,9.7,4.6351,1.4553,3.4804,异常高值
南方省份 ILI%,2025-W50,9.7,4.6351,1.4553,3.4804,异常高值
住院严重急性呼吸道感染病例-人偏肺病毒阳性率,2026-W20,4.3,0.7646,1.0723,3.2971,异常高值
住院严重急性呼吸道感染病例-普通冠状病毒阳性率,2025-W36,6.9,2.3667,1.4131,3.2081,异常高值
流感样病例暴发疫情数,2025-W46,955,97.7159,273.4133,3.1355,异常高值
门急诊流感样病例-腺病毒阳性率,2025-W28,3.1,1.6396,0.4685,3.1173,异常高值
北方省份 ILI%,2025-W49,7.9,3.9532,1.289,3.0619,异常高值
住院严重急性呼吸道感染病例-博卡病毒阳性率,2025-W41,3.8,1.4792,0.7727,3.0035,异常高值
住院严重急性呼吸道感染病例-流感病毒阳性率,2025-W50,22.5,5.5375,5.8249,2.9121,异常高值
门急诊流感样病例-普通冠状病毒阳性率,2025-W37,11.4,3.5688,2.7192,2.88,异常高值
住院严重急性呼吸道感染病例-流感病毒阳性率,2025-W49,22.1,5.5375,5.8249,2.8434,异常高值
门急诊流感样病例-普通冠状病毒阳性率,2025-W36,11.3,3.5688,2.7192,2.8433,异常高值
住院严重急性呼吸道感染病例-人偏肺病毒阳性率,2026-W18,3.8,0.7646,1.0723,2.8308,异常高值
南方省份 ILI%,2024-W02,8.7,4.6351,1.4553,2.7932,异常高值
北方省份 ILI%,2025-W01,7.5,3.9532,1.289,2.7516,异常高值
住院严重急性呼吸道感染病例-肠道病毒阳性率,2025-W27,4.8,1.7479,1.1134,2.7413,异常高值
门急诊流感样病例-流感病毒阳性率,2025-W49,54.2,14.9917,14.432,2.7168,异常高值
猩红热月度发病数,2024-06,12397,4541.9286,2907.0938,2.702,异常高值
门急诊流感样病例-腺病毒阳性率,2025-W27,2.9,1.6396,0.4685,2.6904,异常高值
新型冠状病毒感染月度发病数,2025-05,440662,102994.9375,126075.0314,2.6783,异常高值
麻疹月度发病数,2025-01,344,141.2143,75.795,2.6754,异常高值
