region,city,report_year,report_week,year_week,cluster_id,risk_level,risk_score,avg_temperature,avg_humidity,precipitation_total,wind_speed,influenza_ili_percent_north,influenza_ili_percent_south,influenza_outbreak_count,resp_outpatient_ili_influenza_positive_rate,resp_outpatient_ili_covid_positive_rate,resp_outpatient_ili_rsv_positive_rate,resp_outpatient_ili_mycoplasma_positive_rate,resp_hospital_sari_influenza_positive_rate,resp_hospital_sari_covid_positive_rate
上海,上海,2024,1,2024-W01,1,中风险,8.4,5.0871,81.3957,3.4,3.2614,7.1,9.7,,,,,,,
上海,上海,2024,2,2024-W02,1,中风险,7.5,7.2157,77.1357,0.28,3.0557,6.3,8.7,,,,,,,
上海,上海,2024,3,2024-W03,1,中风险,6.85,6.8814,85.2314,24.78,4.7843,6,7.7,,,,,,,
上海,上海,2024,4,2024-W04,1,中风险,6.1,0.9914,65.2143,0.03,4.2071,5.2,7,,,,,,,
上海,上海,2024,5,2024-W05,1,中风险,5.7,6.68,89.2629,75.98,4.1586,5,6.4,,,,,,,
上海,上海,2024,6,2024-W06,1,中风险,6.8,4.1114,77.4543,4.27,3.9343,5.7,7.9,,,,,,,
上海,上海,2024,7,2024-W07,1,中风险,6.65,10.2771,80.3171,5.17,3.6943,5.7,7.6,,,,,,,
上海,上海,2024,8,2024-W08,1,中风险,5,5.3886,87.7257,76.28,5.7314,4.3,5.7,,,,,,,
上海,上海,2024,9,2024-W09,1,中风险,4.1,5.5214,81.0086,48.23,3.6529,4.3,5,3,,,,,,
上海,上海,2024,10,2024-W10,1,中风险,10.5333,8.3414,81.3914,23.38,4.0129,4.1,5.5,22,,,,,,
上海,上海,2024,11,2024-W11,1,中风险,10.8333,10.9129,84.4943,5.79,3.3729,4.1,5.4,23,,,,,,
上海,上海,2024,12,2024-W12,1,中风险,6.3,12.9929,78.8271,9.64,3.67,3.9,5,10,,,,,,
上海,上海,2024,13,2024-W13,1,中风险,6.8333,14.6486,82.9657,41.5,4.2229,3.8,4.7,12,,,,,,
上海,上海,2024,14,2024-W14,1,中风险,4.5,15.1686,82.5014,33.5,3.8729,3.8,4.7,5,,,,,,
上海,上海,2024,15,2024-W15,1,中风险,3.9667,15.8057,86.7357,60.81,3.5957,3.6,4.3,4,,,,,,
上海,上海,2024,16,2024-W16,1,中风险,4.3667,17.0429,83.7286,66.01,4,3.5,4.6,5,,,,,,
