x_variable,y_variable,sample_size,pearson_correlation,abs_correlation,strength,direction
precipitation_total,resp_outpatient_ili_covid_positive_rate,48,0.8475,0.8475,强相关,正相关
avg_temperature,resp_outpatient_ili_covid_positive_rate,48,0.7946,0.7946,强相关,正相关
precipitation_total,resp_hospital_sari_covid_positive_rate,48,0.7719,0.7719,强相关,正相关
avg_temperature,resp_hospital_sari_covid_positive_rate,48,0.7278,0.7278,强相关,正相关
avg_humidity,resp_outpatient_ili_bocavirus_positive_rate,48,0.7264,0.7264,强相关,正相关
precipitation_total,resp_outpatient_ili_influenza_positive_rate,48,-0.7249,0.7249,强相关,负相关
avg_temperature,resp_outpatient_ili_influenza_positive_rate,48,-0.7052,0.7052,强相关,负相关
precipitation_total,resp_hospital_sari_influenza_positive_rate,48,-0.6909,0.6909,中等相关,负相关
avg_temperature,resp_hospital_sari_influenza_positive_rate,48,-0.6897,0.6897,中等相关,负相关
avg_temperature,resp_outpatient_ili_rsv_positive_rate,48,-0.6631,0.6631,中等相关,负相关
avg_temperature,resp_hospital_sari_rsv_positive_rate,48,-0.6405,0.6405,中等相关,负相关
avg_humidity,resp_outpatient_ili_hmpv_positive_rate,48,-0.5997,0.5997,中等相关,负相关
avg_temperature,influenza_ili_percent_north,124,-0.5469,0.5469,中等相关,负相关
avg_humidity,resp_hospital_sari_bocavirus_positive_rate,48,0.5458,0.5458,中等相关,正相关
avg_humidity,resp_hospital_sari_hmpv_positive_rate,48,-0.5405,0.5405,中等相关,负相关
precipitation_total,resp_outpatient_ili_rsv_positive_rate,48,-0.5264,0.5264,中等相关,负相关
avg_humidity,resp_outpatient_ili_mycoplasma_positive_rate,48,0.5226,0.5226,中等相关,正相关
avg_humidity,resp_hospital_sari_parainfluenza_positive_rate,48,-0.5225,0.5225,中等相关,负相关
wind_speed,resp_hospital_sari_covid_positive_rate,48,-0.5077,0.5077,中等相关,负相关
precipitation_total,resp_hospital_sari_rsv_positive_rate,48,-0.5074,0.5074,中等相关,负相关
precipitation_total,resp_hospital_sari_mycoplasma_positive_rate,48,0.4855,0.4855,中等相关,正相关
precipitation_total,influenza_ili_percent_north,124,-0.4804,0.4804,中等相关,负相关
wind_speed,resp_outpatient_ili_bocavirus_positive_rate,48,-0.4687,0.4687,中等相关,负相关
avg_temperature,resp_hospital_sari_mycoplasma_positive_rate,48,0.4666,0.4666,中等相关,正相关
wind_speed,resp_outpatient_ili_covid_positive_rate,48,-0.4659,0.4659,中等相关,负相关
avg_temperature,influenza_ili_percent_south,111,-0.46,0.46,中等相关,负相关
