analysis_type,dataset,group_name,metric_name,observations,mean,min,max,sum,latest_period,latest_value,note
descriptive,chinacdc_monthly_clean,新型冠状病毒感染,cases,16,102994.9375,13959,440662,1647919,2026-04,23477,重点呼吸道病种月度发病数。
descriptive,chinacdc_monthly_clean,麻疹,cases,28,141.2143,31,344,3954,2026-04,81,重点呼吸道病种月度发病数。
descriptive,chinacdc_monthly_clean,肺结核,cases,20,54026.35,44105,63201,1080527,2026-04,61668,重点呼吸道病种月度发病数。
descriptive,chinacdc_monthly_clean,百日咳,cases,28,19036.8929,636,97669,533033,2026-04,760,重点呼吸道病种月度发病数。
descriptive,chinacdc_monthly_clean,猩红热,cases,28,4541.9286,1197,12397,127174,2026-04,1701,重点呼吸道病种月度发病数。
descriptive,chinacdc_monthly_clean,流行性感冒,cases,28,1021512.7857,78790,6727614,28602358,2026-04,596122,重点呼吸道病种月度发病数。
descriptive,chinacdc_monthly_clean,流行性腮腺炎,cases,28,7088.8214,3142,10197,198487,2026-04,7534,重点呼吸道病种月度发病数。
descriptive,respiratory_weekly_clean,门急诊流感样病例-新型冠状病毒阳性率,positive_rate,48,4.3875,0.3,15.4,210.6,2026-W20,1.7,急性呼吸道哨点监测病原体阳性率。
descriptive,respiratory_weekly_clean,住院严重急性呼吸道感染病例-新型冠状病毒阳性率,positive_rate,48,2.2042,0.3,6.9,105.8,2026-W20,0.7,急性呼吸道哨点监测病原体阳性率。
descriptive,respiratory_weekly_clean,门急诊流感样病例-流感病毒阳性率,positive_rate,48,14.9917,1.5,54.2,719.6,2026-W20,11.9,急性呼吸道哨点监测病原体阳性率。
descriptive,respiratory_weekly_clean,住院严重急性呼吸道感染病例-流感病毒阳性率,positive_rate,48,5.5375,0.5,22.5,265.8,2026-W20,4,急性呼吸道哨点监测病原体阳性率。
descriptive,respiratory_weekly_clean,门急诊流感样病例-呼吸道合胞病毒阳性率,positive_rate,48,5.1312,1.2,9.8,246.3,2026-W20,1.2,急性呼吸道哨点监测病原体阳性率。
descriptive,respiratory_weekly_clean,住院严重急性呼吸道感染病例-呼吸道合胞病毒阳性率,positive_rate,48,8.0771,1.9,13.3,387.7,2026-W20,1.9,急性呼吸道哨点监测病原体阳性率。
descriptive,respiratory_weekly_clean,门急诊流感样病例-腺病毒阳性率,positive_rate,48,1.6396,1,3.1,78.7,2026-W20,2.2,急性呼吸道哨点监测病原体阳性率。
descriptive,respiratory_weekly_clean,住院严重急性呼吸道感染病例-腺病毒阳性率,positive_rate,48,1.2229,0.7,2.1,58.7,2026-W20,1.7,急性呼吸道哨点监测病原体阳性率。
descriptive,respiratory_weekly_clean,门急诊流感样病例-人偏肺病毒阳性率,positive_rate,48,0.8,0,4.9,38.4,2026-W20,3.1,急性呼吸道哨点监测病原体阳性率。
