series_name,frequency,start_period,end_period,observations,latest_value,previous_period,previous_value,change,change_percent,recent_4_period_avg,trend_direction
住院严重急性呼吸道感染病例-人偏肺病毒阳性率,周度,2025-W25,2026-W20,48,4.3,2026-W19,4.5,-0.2,-4.4444,4,下降
住院严重急性呼吸道感染病例-副流感病毒阳性率,周度,2025-W25,2026-W20,48,4.6,2026-W19,6,-1.4,-23.3333,5.15,下降
住院严重急性呼吸道感染病例-博卡病毒阳性率,周度,2025-W25,2026-W20,48,0.8,2026-W19,0.5,0.3,60,0.6,上升
住院严重急性呼吸道感染病例-呼吸道合胞病毒阳性率,周度,2025-W25,2026-W20,48,1.9,2026-W19,3.2,-1.3,-40.625,3.025,下降
住院严重急性呼吸道感染病例-新型冠状病毒阳性率,周度,2025-W25,2026-W20,48,0.7,2026-W19,0.6,0.1,16.6667,0.65,上升
住院严重急性呼吸道感染病例-普通冠状病毒阳性率,周度,2025-W25,2026-W20,48,1.6,2026-W19,1.1,0.5,45.4545,1.525,上升
住院严重急性呼吸道感染病例-流感病毒阳性率,周度,2025-W25,2026-W20,48,4,2026-W19,4.2,-0.2,-4.7619,4.6,下降
住院严重急性呼吸道感染病例-肠道病毒阳性率,周度,2025-W25,2026-W20,48,1.7,2026-W19,1.2,0.5,41.6667,1.3,上升
住院严重急性呼吸道感染病例-肺炎支原体阳性率,周度,2025-W25,2026-W20,48,0.9,2026-W19,1.1,-0.2,-18.1818,0.875,下降
住院严重急性呼吸道感染病例-腺病毒阳性率,周度,2025-W25,2026-W20,48,1.7,2026-W19,1.1,0.6,54.5455,1.1,上升
住院严重急性呼吸道感染病例-鼻病毒阳性率,周度,2025-W25,2026-W20,48,8.2,2026-W19,9.1,-0.9,-9.8901,7.925,下降
北方省份 ILI%,周度,2024-W01,2026-W20,124,3.4,2026-W19,3.6,-0.2,-5.5556,3.5,下降
南方省份 ILI%,周度,2024-W01,2026-W20,111,4.2,2026-W19,4.1,0.1,2.439,4.075,上升
新型冠状病毒感染月度发病数,月度,2025-01,2026-04,16,23477,2026-03,26306,-2829,-10.7542,21788,下降
流感样病例暴发疫情数,周度,2024-W09,2026-W20,88,18,2026-W19,7,11,157.1429,16.75,上升
流行性感冒月度发病数,月度,2024-01,2026-04,28,596122,2026-03,479991,116131,24.1944,707956,上升
流行性腮腺炎月度发病数,月度,2024-01,2026-04,28,7534,2026-03,6125,1409,23.0041,5410.75,上升
猩红热月度发病数,月度,2024-01,2026-04,28,1701,2026-03,1471,230,15.6356,1826,上升
百日咳月度发病数,月度,2024-01,2026-04,28,760,2026-03,636,124,19.4969,758.25,上升
肺结核月度发病数,月度,2024-09,2026-04,20,61668,2026-03,63201,-1533,-2.4256,55465.75,下降
门急诊流感样病例-人偏肺病毒阳性率,周度,2025-W25,2026-W20,48,3.1,2026-W19,4.9,-1.8,-36.7347,4.15,下降
门急诊流感样病例-副流感病毒阳性率,周度,2025-W25,2026-W20,48,6.4,2026-W19,5.7,0.7,12.2807,6.825,上升
门急诊流感样病例-博卡病毒阳性率,周度,2025-W25,2026-W20,48,0.6,2026-W19,0.3,0.3,100,0.425,上升
门急诊流感样病例-呼吸道合胞病毒阳性率,周度,2025-W25,2026-W20,48,1.2,2026-W19,2,-0.8,-40,1.8,下降
门急诊流感样病例-新型冠状病毒阳性率,周度,2025-W25,2026-W20,48,1.7,2026-W19,1.4,0.3,21.4286,1.475,上升
门急诊流感样病例-普通冠状病毒阳性率,周度,2025-W25,2026-W20,48,2.3,2026-W19,1.7,0.6,35.2941,2.2,上升
门急诊流感样病例-流感病毒阳性率,周度,2025-W25,2026-W20,48,11.9,2026-W19,12.2,-0.3,-2.459,13.05,下降
门急诊流感样病例-肠道病毒阳性率,周度,2025-W25,2026-W20,48,2.8,2026-W19,2.5,0.3,12,2.375,上升
门急诊流感样病例-肺炎支原体阳性率,周度,2025-W25,2026-W20,48,0.2,2026-W19,0.1,0.1,100,0.15,上升
门急诊流感样病例-腺病毒阳性率,周度,2025-W25,2026-W20,48,2.2,2026-W19,1.4,0.8,57.1429,1.725,上升
门急诊流感样病例-鼻病毒阳性率,周度,2025-W25,2026-W20,48,9.9,2026-W19,10.1,-0.2,-1.9802,9.95,下降
麻疹月度发病数,月度,2024-01,2026-04,28,81,2026-03,117,-36,-30.7692,116.75,下降
