region,city,period_month,days_count,avg_temperature,max_temperature,min_temperature,avg_humidity,precipitation_total,wind_speed
上海,上海,2018-01,31,3.8984,7.2871,0.861,81.3965,110.44,3.9874
上海,上海,2018-02,28,4.6129,9.1039,0.7796,79.0518,60.31,3.6557
上海,上海,2018-03,31,11.1348,16.13,6.7787,84.7755,78.7,4.0539
上海,上海,2018-04,30,16.6407,22.031,11.938,77.3063,85.04,4.1167
上海,上海,2018-05,31,22.1023,26.5352,18.1339,78.6548,165.77,3.869
上海,上海,2018-06,30,24.778,28.8333,21.3143,78.533,118.34,3.3753
上海,上海,2018-07,31,29.0829,32.7803,26.2539,80.0084,114.17,4.5335
上海,上海,2018-08,31,29.2226,32.4839,26.6945,80.4519,250.15,4.8039
上海,上海,2018-09,30,25.424,28.7477,22.6683,79.0413,171.27,3.029
上海,上海,2018-10,31,18.1942,22.5658,14.3887,72.0852,35.36,3.5068
上海,上海,2018-11,30,14.4893,18.223,11.2903,81.774,104.81,3.1903
上海,上海,2018-12,31,7.9432,11.2519,4.679,84.7319,141.45,4.3445
上海,上海,2019-01,31,5.6039,9.3016,2.4113,82.5774,69.83,3.1881
上海,上海,2019-02,28,5.8975,9.0832,2.6479,85.8407,162.71,3.8404
上海,上海,2019-03,31,10.4965,14.8581,6.7435,81.8397,74.33,3.4745
上海,上海,2019-04,30,16.1223,20.9783,11.7373,80.4897,89.46,3.5637
上海,上海,2019-05,31,20.2126,25.2235,15.7597,71.4658,63.58,3.5606
上海,上海,2019-06,30,24.1587,28.4607,20.6303,78.134,150.12,3.6467
上海,上海,2019-07,31,27.2484,30.74,24.4094,81.9352,192.54,3.6303
上海,上海,2019-08,31,28.5661,31.7942,25.8416,80.8665,298.1,3.7619
上海,上海,2019-09,30,24.288,27.7403,21.3023,80.465,191.99,3.6657
上海,上海,2019-10,31,19.5961,23.5471,16.3694,77.0894,136.83,3.2897
上海,上海,2019-11,30,14.1727,18.717,10.221,76.1747,53.43,3.662
上海,上海,2019-12,31,8.631,12.6461,4.8681,77.5984,80.94,3.6465
上海,上海,2020-01,31,6.8332,10.1877,3.7897,84.4416,135.47,3.8781
上海,上海,2020-02,29,8.0155,12.4786,3.9724,83.1676,67.78,3.6769
上海,上海,2020-03,31,11.4355,15.6877,7.3868,80.3658,165.77,3.9223
上海,上海,2020-04,30,14.555,19.4867,10.052,72.7287,46.67,3.5463
上海,上海,2020-05,31,21.909,26.3352,17.7794,78.0732,112.23,3.8865
上海,上海,2020-06,30,25.532,28.6743,22.5903,85.9793,410.78,3.525
上海,上海,2020-07,31,26.5858,29.1816,24.1819,87.7706,362.46,3.3442
上海,上海,2020-08,31,28.9874,32.1416,26.3929,83.6506,142.68,4.1297
上海,上海,2020-09,30,23.8963,27.206,21.0367,78.4403,199.51,3.081
上海,上海,2020-10,31,18.3771,22.2152,15.1597,76.9855,49.56,3.3955
上海,上海,2020-11,30,14.901,18.7727,11.677,80.059,55.31,3.5483
上海,上海,2020-12,31,6.6013,10.89,2.8906,76.2552,15.77,3.5442
上海,上海,2021-01,31,4.7674,9.6158,0.8371,73.6213,14.8,3.709
上海,上海,2021-02,28,9.3182,14.0721,5.2146,78.3357,61.27,3.6307
上海,上海,2021-03,31,11.6952,16.0774,7.7381,81.5677,127.16,3.7248
上海,上海,2021-04,30,16.1603,20.759,12.0237,75.859,67.32,3.862
上海,上海,2021-05,31,21.7787,26.3484,17.5019,76.7545,180.12,3.8877
上海,上海,2021-06,30,25.2627,29.2677,21.9273,81.049,148.49,3.421
上海,上海,2021-07,31,28.3013,31.06,26.0203,85.1216,458.38,5.2406
上海,上海,2021-08,31,28.0003,30.8165,25.6861,84.6723,284.36,3.1355
上海,上海,2021-09,30,26.057,29.4473,23.207,84.107,183.55,3.8033
上海,上海,2021-10,31,20.6655,24.2968,17.5987,80.07,91.15,3.8916
上海,上海,2021-11,30,13.1517,17.6927,9.0957,76.1947,64.11,3.6783
上海,上海,2021-12,31,7.4874,12.1061,3.5335,76.8803,6.68,3.2081
上海,上海,2022-01,31,5.9545,9.3932,2.9074,82.2874,61.74,3.5365
上海,上海,2022-02,28,4.9796,8.7761,1.735,78.7889,55.34,3.6793
上海,上海,2022-03,31,12.5158,17.6577,7.9877,79.7781,178.81,4.1423
上海,上海,2022-04,30,16.6607,21.7773,12.1113,76.2243,131.48,3.4517
上海,上海,2022-05,31,20.2703,24.8545,16.1523,75.8345,78.71,3.2797
上海,上海,2022-06,30,26.2213,30.33,22.5417,79.3597,146.5,3.492
上海,上海,2022-07,31,30.4081,33.9255,27.3148,78.1448,115.23,2.9045
上海,上海,2022-08,31,31.4342,36.0026,27.7403,70.3784,56.5,3.4352
上海,上海,2022-09,30,24.81,28.6703,21.611,76.3767,203.97,4.4487
上海,上海,2022-10,31,18.8881,23.3619,15.3765,73.769,35.55,4.3429
上海,上海,2022-11,30,16.2803,20.58,12.6557,79.4203,110.06,3.6467
上海,上海,2022-12,31,5.6623,9.6668,2.0832,73.5439,37.45,3.8181
上海,上海,2023-01,31,5.4026,10.5448,1.0465,74.9039,56.22,3.5697
上海,上海,2023-02,28,6.8804,11.1732,3.2511,80.9982,85.2,3.8161
上海,上海,2023-03,31,11.6171,16.9161,7.2687,76.3781,77.61,3.7006
上海,上海,2023-04,30,16.4873,21.4643,11.9707,76.0527,58.65,3.9777
上海,上海,2023-05,31,21.6103,26.4684,17.2845,74.6871,135.57,4.1365
上海,上海,2023-06,30,25.8013,29.786,22.402,78.8857,256.28,3.3003
上海,上海,2023-07,31,29.2532,32.2052,26.7803,84.1848,246.17,3.3848
上海,上海,2023-08,31,28.6665,31.9723,25.811,81.231,147.52,3.5452
上海,上海,2023-09,30,26.4287,29.7907,23.751,82.229,128.83,2.999
上海,上海,2023-10,31,20.3955,24.8,16.83,75.531,31.37,3.2758
上海,上海,2023-11,30,14.008,19.2387,9.291,72.8333,59.24,3.7877
上海,上海,2023-12,31,6.4781,11.3748,2.4839,74.3884,39.91,3.799
上海,上海,2024-01,31,5.3319,10.3758,1.4768,78.3106,41.61,3.6729
上海,上海,2024-02,29,6.3772,10.6334,2.5955,83.7086,196.66,4.5024
上海,上海,2024-03,31,11.0684,16.4039,6.4594,81.0255,80.46,3.8026
上海,上海,2024-04,30,16.5717,20.9403,12.7493,83.9063,200.57,3.7393
上海,上海,2024-05,31,20.4158,24.9897,16.2674,79.1268,110.92,3.8016
上海,上海,2024-06,30,24.6737,28.3377,21.571,82.721,356.7,3.301
上海,上海,2024-07,31,29.9868,33.2497,27.2097,82.9197,116.73,4.0639
上海,上海,2024-08,31,31.0077,34.9561,27.8958,78.1613,45.41,2.7729
上海,上海,2024-09,30,28.062,31.3653,25.4663,81.3497,254.81,4.3413
上海,上海,2024-10,31,20.3516,23.869,17.2568,81.4955,155.75,4.4629
上海,上海,2024-11,30,14.5843,18.5347,11.2247,80.9127,185.26,4.4033
上海,上海,2024-12,31,6.2703,10.7694,2.7139,77.6929,17.01,3.7871
上海,上海,2025-01,31,5.3097,10.3274,1.3516,74.5777,18.5,3.3155
上海,上海,2025-02,28,5.5214,10.0107,1.7318,74.9564,24.9,3.74
上海,上海,2025-03,31,11.6713,16.8065,6.9226,73.3726,80.52,4.1206
上海,上海,2025-04,30,17.916,24.2197,12.3333,69.4757,37.86,4.082
上海,上海,2025-05,31,22.0361,27.1816,17.6587,73.3758,175.06,4.1742
上海,上海,2025-06,30,25.698,29.5993,22.1837,83.3187,344.3,3.4683
上海,上海,2025-07,31,28.9932,31.9929,26.51,84.0155,364.01,5.2768
上海,上海,2025-08,31,30.2265,33.5161,27.3845,80.649,81.23,2.92
上海,上海,2025-09,30,28.1367,31.42,25.299,81.791,165.54,2.6787
上海,上海,2025-10,31,22.5981,26.3503,19.5194,78.9352,60.75,4.0997
上海,上海,2025-11,30,13.5117,18.4693,9.3867,71.166,18.33,3.797
上海,上海,2025-12,31,9.0523,14.0781,4.7487,73.28,8.33,3.8306
上海,上海,2026-01,31,5.4035,10.7016,1.1523,72.599,36.29,4.1629
上海,上海,2026-02,28,8.0757,13.2357,3.5743,74.7721,68.99,3.685
上海,上海,2026-03,31,11.0019,15.6919,7.2887,79.5432,81.42,3.7365
上海,上海,2026-04,30,16.829,21.87,12.4603,77.4977,97.52,4.099
上海,上海,2026-05,27,20.8348,25.9867,16.4952,79.4814,95.95,3.0186
云南,昆明,2018-01,31,7.5487,14.9635,2.2529,76.7306,26.85,2.7635
云南,昆明,2018-02,28,9.3918,17.1161,3.4111,71.1521,1.32,3.1236
云南,昆明,2018-03,31,13.1106,20.7155,6.7481,67.1148,30.83,2.8606
云南,昆明,2018-04,30,16.0483,22.7587,9.933,67.4543,34.33,3.0003
云南,昆明,2018-05,31,18.7284,24.9465,13.1048,69.5516,102.36,3.0226
云南,昆明,2018-06,30,20.152,25.5177,15.8083,77.6143,207.71,2.3233
云南,昆明,2018-07,31,20.9887,26.3026,16.5387,76.1019,127.61,1.9532
云南,昆明,2018-08,31,20.2135,25.8142,15.679,77.0606,184.07,1.6955
云南,昆明,2018-09,30,18.9583,24.7327,14.4793,79.0833,81.93,2.0227
云南,昆明,2018-10,31,15.0694,20.9642,10.8061,80.3935,57.19,2.2258
云南,昆明,2018-11,30,11.9143,19.4767,6.2833,73.8013,0.1,2.2513
云南,昆明,2018-12,31,9.5135,16.7013,4.6248,79.8913,28.78,2.4342
云南,昆明,2019-01,31,8.8035,16.2516,3.5235,77.6603,40.94,2.49
云南,昆明,2019-02,28,10.8657,19.2289,4.0286,65.9739,4.37,3.3168
云南,昆明,2019-03,31,13.3597,21.2771,6.5626,62.7094,4.62,3.3213
云南,昆明,2019-04,30,17.917,25.6607,10.8603,55.7743,8.06,3.4433
云南,昆明,2019-05,31,21.7019,29.1445,14.5029,53.2784,16.32,3.1761
云南,昆明,2019-06,30,22.194,27.9373,17.2273,68.7267,94.53,3.0033
云南,昆明,2019-07,31,20.8132,26.0335,16.6894,77.4677,248.2,2.3468
云南,昆明,2019-08,31,21.541,27.8048,16.1939,72.2319,99.08,1.8355
云南,昆明,2019-09,30,18.505,24.646,13.5857,74.7997,124.21,1.975
云南,昆明,2019-10,31,16.7332,23.0252,11.8523,76.7584,60.26,2.1532
云南,昆明,2019-11,30,13.1577,20.199,7.9913,76.797,11.26,2.353
云南,昆明,2019-12,31,7.3755,15.0945,1.3416,71.6929,10.6,2.4052
云南,昆明,2020-01,31,8.5458,16.0165,2.6232,70.7652,40.2,2.921
云南,昆明,2020-02,29,10.0703,17.2124,4.4221,71.2141,24.77,2.8014
云南,昆明,2020-03,31,14.6252,22.5816,7.739,58.4797,8.99,3.329
云南,昆明,2020-04,30,15.5247,22.3817,9.3333,62.8017,50.11,2.9653
云南,昆明,2020-05,31,20.4913,27.3181,13.9174,60.2381,35.68,3.0726
云南,昆明,2020-06,30,22.2307,28.565,16.7953,67.9483,112.93,3.1833
云南,昆明,2020-07,31,20.8735,26.2997,16.5545,76.9826,261.94,2.9558
云南,昆明,2020-08,31,20.6732,26.3919,16.2461,76.6655,221.96,2.3139
云南,昆明,2020-09,30,19.6447,25.3437,15.335,79.0997,90.39,2.147
云南,昆明,2020-10,31,16.0026,22.5458,11.1919,78.1861,31.05,2.319
云南,昆明,2020-11,30,12.5313,20.0087,6.834,74.665,8.68,2.115
云南,昆明,2020-12,31,8.7445,15.8226,3.82,79.3897,7.23,2.6245
云南,昆明,2021-01,31,7.6497,15.1929,2.17,76.1877,3.15,2.7103
云南,昆明,2021-02,28,10.3079,17.9332,4.3839,69.1811,21.71,2.6218
云南,昆明,2021-03,31,14.1755,22.3371,6.9823,56.2916,4.39,3.4258
云南,昆明,2021-04,30,17.0887,24.4067,10.411,60.2127,46.82,2.8407
云南,昆明,2021-05,31,20.3823,27.1052,14.0429,63.8077,60.06,3.4203
云南,昆明,2021-06,30,20.972,26.47,16.4117,74.7507,240.12,2.5763
云南,昆明,2021-07,31,20.6339,25.8,16.4352,76.6213,201.06,2.2545
云南,昆明,2021-08,31,20.4755,25.7868,16.1555,78.6281,170.86,2.1935
云南,昆明,2021-09,30,19.169,24.7783,14.857,78.1757,142.54,1.887
云南,昆明,2021-10,31,16.0426,22.0848,11.5035,80.3197,55.79,2.6697
云南,昆明,2021-11,30,11.419,18.0313,6.3357,79.4303,28.36,2.3637
