series_name,period,value,mean,stddev,z_score,anomaly_type
ABBV_return_pct,2024-04-04,-5.317791,0.067916,1.487563,-3.620491,low_value
ABBV_return_pct,2024-04-26,-4.584856,0.067916,1.487563,-3.127782,low_value
ABBV_return_pct,2024-05-31,3.153973,0.067916,1.487563,2.074573,high_value
ABBV_return_pct,2024-07-17,3.587461,0.067916,1.487563,2.365981,high_value
ABBV_return_pct,2024-07-25,3.382334,0.067916,1.487563,2.228087,high_value
ABBV_return_pct,2024-10-30,6.360536,0.067916,1.487563,4.230155,high_value
ABBV_return_pct,2024-11-11,-12.566429,0.067916,1.487563,-8.493320,low_value
ABBV_volume,2024-03-15,20957800.000000,5561563.888889,2754609.635555,5.589262,high_value
ABBV_volume,2024-05-31,15664400.000000,5561563.888889,2754609.635555,3.667611,high_value
ABBV_volume,2024-06-21,12228100.000000,5561563.888889,2754609.635555,2.420138,high_value
ABBV_volume,2024-06-28,24463400.000000,5561563.888889,2754609.635555,6.861893,high_value
ABBV_volume,2024-09-20,11661200.000000,5561563.888889,2754609.635555,2.214338,high_value
ABBV_volume,2024-11-11,20760300.000000,5561563.888889,2754609.635555,5.517564,high_value
ABBV_volume,2024-11-15,11265400.000000,5561563.888889,2754609.635555,2.070651,high_value
ABBV_volume,2024-11-22,11328600.000000,5561563.888889,2754609.635555,2.093595,high_value
ABBV_volume,2024-11-25,12465000.000000,5561563.888889,2754609.635555,2.506140,high_value
ABBV_volume,2024-12-20,18950900.000000,5561563.888889,2754609.635555,4.860702,high_value
ABT_return_pct,2024-01-24,-2.833339,0.025893,1.129042,-2.532441,low_value
ABT_return_pct,2024-02-20,2.306809,0.025893,1.129042,2.020223,high_value
ABT_return_pct,2024-03-15,-2.827103,0.025893,1.129042,-2.526918,low_value
ABT_return_pct,2024-03-18,-2.640909,0.025893,1.129042,-2.362005,low_value
ABT_return_pct,2024-04-17,-3.030841,0.025893,1.129042,-2.707370,low_value
ABT_return_pct,2024-06-07,3.174441,0.025893,1.129042,2.788690,high_value
ABT_return_pct,2024-06-20,2.481008,0.025893,1.129042,2.174512,high_value
ABT_return_pct,2024-07-18,-4.403891,0.025893,1.129042,-3.923490,low_value
ABT_return_pct,2024-07-24,3.214016,0.025893,1.129042,2.823742,high_value
ABT_return_pct,2024-08-01,3.973954,0.025893,1.129042,3.496825,high_value
ABT_return_pct,2024-08-05,-2.407699,0.025893,1.129042,-2.155449,low_value
ABT_return_pct,2024-09-18,-2.751213,0.025893,1.129042,-2.459701,low_value
ABT_return_pct,2024-11-01,4.613227,0.025893,1.129042,4.063034,high_value
ABT_volume,2024-03-15,22415700.000000,5594113.492063,2453993.199378,6.854781,high_value
ABT_volume,2024-03-18,12991000.000000,5594113.492063,2453993.199378,3.014225,high_value
ABT_volume,2024-04-17,12002900.000000,5594113.492063,2453993.199378,2.611575,high_value
ABT_volume,2024-04-19,10533600.000000,5594113.492063,2453993.199378,2.012836,high_value
ABT_volume,2024-07-17,13438300.000000,5594113.492063,2453993.199378,3.196499,high_value
ABT_volume,2024-07-18,13078800.000000,5594113.492063,2453993.199378,3.050003,high_value
ABT_volume,2024-07-19,11963600.000000,5594113.492063,2453993.199378,2.595560,high_value
ABT_volume,2024-07-29,19452700.000000,5594113.492063,2453993.199378,5.647361,high_value
ABT_volume,2024-12-20,12311900.000000,5594113.492063,2453993.199378,2.737492,high_value
ALNY_return_pct,2024-02-15,-10.185807,0.119223,3.116102,-3.307025,low_value
ALNY_return_pct,2024-06-24,34.520216,0.119223,3.116102,11.039750,high_value
ALNY_return_pct,2024-06-25,7.738897,0.119223,3.116102,2.445258,high_value
ALNY_return_pct,2024-08-01,13.117989,0.119223,3.116102,4.171482,high_value
ALNY_return_pct,2024-08-30,-8.473575,0.119223,3.116102,-2.757547,low_value
ALNY_return_pct,2024-11-15,-8.665816,0.119223,3.116102,-2.819239,low_value
ALNY_volume,2024-02-15,5429600.000000,850550.396825,813551.482186,5.628469,high_value
ALNY_volume,2024-02-21,3657500.000000,850550.396825,813551.482186,3.450242,high_value
ALNY_volume,2024-06-24,9193800.000000,850550.396825,813551.482186,10.255343,high_value
ALNY_volume,2024-06-25,4500700.000000,850550.396825,813551.482186,4.486685,high_value
ALNY_volume,2024-06-26,2854400.000000,850550.396825,813551.482186,2.463089,high_value
ALNY_volume,2024-06-27,2617300.000000,850550.396825,813551.482186,2.171651,high_value
ALNY_volume,2024-06-28,3246500.000000,850550.396825,813551.482186,2.945050,high_value
ALNY_volume,2024-08-30,3762500.000000,850550.396825,813551.482186,3.579306,high_value
AMGN_return_pct,2024-02-01,3.277534,-0.027798,1.609538,2.053591,high_value
AMGN_return_pct,2024-02-07,-6.390988,-0.027798,1.609538,-3.953427,low_value
AMGN_return_pct,2024-05-03,11.817952,-0.027798,1.609538,7.359721,high_value
AMGN_return_pct,2024-05-06,-3.793880,-0.027798,1.609538,-2.339853,low_value
AMGN_return_pct,2024-06-24,3.241827,-0.027798,1.609538,2.031406,high_value
AMGN_return_pct,2024-08-07,-5.000772,-0.027798,1.609538,-3.089691,low_value
AMGN_return_pct,2024-08-08,3.900806,-0.027798,1.609538,2.440827,high_value
AMGN_return_pct,2024-09-25,-5.457516,-0.027798,1.609538,-3.373465,low_value
AMGN_return_pct,2024-11-12,-7.137743,-0.027798,1.609538,-4.417384,low_value
AMGN_return_pct,2024-11-15,-4.163154,-0.027798,1.609538,-2.569282,low_value
AMGN_return_pct,2024-11-26,-4.758482,-0.027798,1.609538,-2.939157,low_value
AMGN_volume,2024-02-07,8411300.000000,2680219.444444,1693222.159777,3.384719,high_value
AMGN_volume,2024-03-15,8795800.000000,2680219.444444,1693222.159777,3.611800,high_value
AMGN_volume,2024-05-03,9644700.000000,2680219.444444,1693222.159777,4.113152,high_value
AMGN_volume,2024-06-21,6596800.000000,2680219.444444,1693222.159777,2.313093,high_value
AMGN_volume,2024-11-12,6680300.000000,2680219.444444,1693222.159777,2.362407,high_value
AMGN_volume,2024-11-26,17010300.000000,2680219.444444,1693222.159777,8.463202,high_value
AMGN_volume,2024-11-27,6622800.000000,2680219.444444,1693222.159777,2.328448,high_value
AMGN_volume,2024-12-20,13687600.000000,2680219.444444,1693222.159777,6.500848,high_value
ARWR_return_pct,2024-01-04,8.007506,-0.121422,3.978501,2.043213,high_value
ARWR_return_pct,2024-01-08,10.898880,-0.121422,3.978501,2.769963,high_value
ARWR_return_pct,2024-02-28,9.096740,-0.121422,3.978501,2.316993,high_value
ARWR_return_pct,2024-03-01,12.398765,-0.121422,3.978501,3.146960,high_value
ARWR_return_pct,2024-03-11,-12.107626,-0.121422,3.978501,-3.012744,low_value
ARWR_return_pct,2024-05-10,-10.679609,-0.121422,3.978501,-2.653810,low_value
ARWR_return_pct,2024-05-15,9.297255,-0.121422,3.978501,2.367393,high_value
ARWR_return_pct,2024-08-09,-9.439073,-0.121422,3.978501,-2.342000,low_value
ARWR_return_pct,2024-11-15,-13.264830,-0.121422,3.978501,-3.303608,low_value
ARWR_return_pct,2024-11-26,12.027665,-0.121422,3.978501,3.053684,high_value
ARWR_return_pct,2024-11-27,24.228031,-0.121422,3.978501,6.120257,high_value
ARWR_return_pct,2024-12-04,-11.354043,-0.121422,3.978501,-2.823330,low_value
ARWR_return_pct,2024-12-18,-8.576560,-0.121422,3.978501,-2.125207,low_value
ARWR_volume,2024-01-03,6019500.000000,1278337.301587,955424.314299,4.962363,high_value
ARWR_volume,2024-01-04,5694000.000000,1278337.301587,955424.314299,4.621677,high_value
ARWR_volume,2024-01-08,5170100.000000,1278337.301587,955424.314299,4.073334,high_value
ARWR_volume,2024-02-07,3220100.000000,1278337.301587,955424.314299,2.032356,high_value
ARWR_volume,2024-02-28,5053500.000000,1278337.301587,955424.314299,3.951294,high_value
ARWR_volume,2024-03-15,3735900.000000,1278337.301587,955424.314299,2.572221,high_value
ARWR_volume,2024-06-21,3419200.000000,1278337.301587,955424.314299,2.240745,high_value
ARWR_volume,2024-11-26,8052200.000000,1278337.301587,955424.314299,7.089900,high_value
