ticker,company_name,industry_group,trade_year,trading_days,avg_close,year_end_adj_close,total_volume,avg_daily_return,daily_return_volatility,latest_rd_fiscal_year,latest_rd_expense_usd,latest_rd_expense_musd,latest_rd_expense_busd
ABBV,AbbVie Inc.,Pharmaceuticals,2024,252,177.22253920539978,168.92469787597656,1401514100,0.0006791590769332146,0.014905347292031395,2024,12791000000.0,12791.0,12.791
ABT,Abbott Laboratories,Medical Devices,2024,252,111.46099196539984,109.75855255126952,1409716600,0.00025892911749332825,0.01131297556100922,2024,2844000000.0,2844.0,2.844
ALNY,"Alnylam Pharmaceuticals, Inc.",Biotechnology,2024,252,212.7634519546751,235.30999755859372,214338700,0.0011922294091083775,0.031223284236441863,2024,1126232000.0,1126.232,1.126232
AMGN,Amgen Inc.,Biotechnology,2024,252,302.70039815751335,248.8076629638672,675415300,-0.0002779751441201778,0.01612753614504407,2024,5964000000.0,5964.0,5.964
ARWR,"Arrowhead Pharmaceuticals, Inc.",Biotechnology,2024,252,25.31585323242914,18.799999237060547,322141000,-0.001214215424637776,0.0398645042099252,2015,47267361.0,47.267361,0.047267361
BDX,"Becton, Dickinson and Company",Medical Devices,2024,252,184.75594644697887,173.4721221923828,476100695,-0.0001787029927842634,0.011610993988191064,2024,1190000000.0,1190.0,1.19
BEAM,Beam Therapeutics Inc.,Biotechnology,2024,252,26.724940481640044,24.799999237060547,307309400,0.0006251918546011615,0.046069848388719435,2024,367561000.0,367.561,0.367561
BIIB,Biogen Inc.,Biotechnology,2024,252,206.99170684814453,152.9199981689453,305682300,-0.0021022870133247324,0.01585093952504087,2012,1334919000.0,1334.919,1.334919
BMY,Bristol-Myers Squibb Company,Pharmaceuticals,2024,252,49.621428580511186,52.70888900756836,3527827900,0.000631215843290967,0.0179332147618641,2024,11159000000.0,11159.0,11.159
BSX,Boston Scientific Corporation,Medical Devices,2024,252,76.24019831702823,89.31999969482422,1495040200,0.0017878881526896004,0.010539812760814978,2024,1615000000.0,1615.0,1.615
CRSP,CRISPR Therapeutics AG,Biotechnology,2024,252,56.66811526767791,39.36000061035156,383537800,-0.001571942919600188,0.03144521077922026,2024,320653000.0,320.653,0.320653
DHR,Danaher Corporation,Life Sciences Tools,2024,252,251.8578962901282,227.6317596435547,707111700,2.4289709709258468e-05,0.013997081440283547,2024,1584000000.0,1584.0,1.584
DXCM,"DexCom, Inc.",Medical Devices,2024,252,101.69186498248388,77.7699966430664,973314300,-0.0011046355923615592,0.0345324225768234,2024,552400000.0,552.4,0.5524
EDIT,"Editas Medicine, Inc.",Biotechnology,2024,252,5.174226187051288,1.2699999809265137,520277900,-0.007030712221331449,0.0479579324292882,2024,199247000.0,199.247,0.199247
EW,Edwards Lifesciences Corporation,Medical Devices,2024,252,78.69999976385208,74.02999877929688,1182414300,0.0003131015888700964,0.026271130385421435,2024,1053000000.0,1053.0,1.053
EXEL,"Exelixis, Inc.",Biotechnology,2024,252,25.47805546957349,33.29999923706055,520098300,0.0015044677211688273,0.01964447210728367,2024,910408000.0,910.408,0.910408
FATE,"Fate Therapeutics, Inc.",Biotechnology,2024,252,4.220833333238723,1.649999976158142,616559000,-0.001555032509619603,0.05822809425749068,2024,135001000.0,135.001,0.135001
GILD,"Gilead Sciences, Inc.",Biotechnology,2024,252,77.54325401972211,89.35045623779297,1773743200,0.0006955180149815736,0.015565672440572132,2019,9106000000.0,9106.0,9.106
HALO,"Halozyme Therapeutics, Inc.",Biotechnology,2024,252,47.620555590069486,47.810001373291016,344450200,0.0013121102022380156,0.025759431820876068,2024,79048000.0,79.048,0.079048
HOLX,"Hologic, Inc.",Diagnostics,2024,252,76.90194459945437,72.08999633789062,420731190,3.905839545594379e-05,0.010903249311060972,,,,
IDXX,"IDEXX Laboratories, Inc.",Diagnostics,2024,252,492.56837305946954,413.4400024414063,129040000,-0.0009740773586845144,0.01706137701629586,2024,219792000.0,219.792,0.219792
INCY,Incyte Corporation,Biotechnology,2024,252,62.98043652186318,69.06999969482422,584373500,0.00038942396183128526,0.018850595602421482,2024,2606848000.0,2606.848,2.606848
IONS,"Ionis Pharmaceuticals, Inc.",Biotechnology,2024,252,43.10075395069425,34.959999084472656,339952000,-0.0013847037181117564,0.022801126830595615,2021,638200000.0,638.2,0.6382
ISRG,"Intuitive Surgical, Inc.",Medical Devices,2024,252,441.55480133541045,521.9600219726562,362542900,0.001953581452294067,0.016794132175423006,2024,1145300000.0,1145.3,1.1453
JNJ,Johnson & Johnson,Pharmaceuticals,2024,252,155.53000029306563,138.78436279296875,1805620600,-0.00023331384246814168,0.009453548222256233,2024,1841000000.0,1841.0,1.841
LLY,Eli Lilly and Company,Pharmaceuticals,2024,252,810.8657546270462,763.6929931640625,809238700,0.0012633281497324038,0.019085081075223734,2022,7190800000.0,7190.8,7.1908
