ticker,company_name,industry_group,cik,fiscal_year,rd_expense_usd,rd_expense_musd,rd_expense_busd,sec_fact_tag,form,filed_date,source_url,crawl_time,raw_file
ABBV,AbbVie Inc.,Pharmaceuticals,0001551152,2013,2855000000.0,2855.0,2.855,ResearchAndDevelopmentExpenseExcludingAcquiredInProcessCost,10-K,2014-02-21,https://data.sec.gov/api/xbrl/companyfacts/CIK0001551152.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0001551152_d09c8e0fc15e1722.json
ABBV,AbbVie Inc.,Pharmaceuticals,0001551152,2014,3297000000.0,3297.0,3.297,ResearchAndDevelopmentExpenseExcludingAcquiredInProcessCost,10-K,2015-02-20,https://data.sec.gov/api/xbrl/companyfacts/CIK0001551152.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0001551152_d09c8e0fc15e1722.json
ABBV,AbbVie Inc.,Pharmaceuticals,0001551152,2015,4285000000.0,4285.0,4.285,ResearchAndDevelopmentExpenseExcludingAcquiredInProcessCost,10-K,2016-02-19,https://data.sec.gov/api/xbrl/companyfacts/CIK0001551152.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0001551152_d09c8e0fc15e1722.json
ABBV,AbbVie Inc.,Pharmaceuticals,0001551152,2016,4366000000.0,4366.0,4.366,ResearchAndDevelopmentExpenseExcludingAcquiredInProcessCost,10-K,2017-02-17,https://data.sec.gov/api/xbrl/companyfacts/CIK0001551152.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0001551152_d09c8e0fc15e1722.json
ABBV,AbbVie Inc.,Pharmaceuticals,0001551152,2017,4982000000.0,4982.0,4.982,ResearchAndDevelopmentExpenseExcludingAcquiredInProcessCost,10-K,2018-02-16,https://data.sec.gov/api/xbrl/companyfacts/CIK0001551152.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0001551152_d09c8e0fc15e1722.json
ABBV,AbbVie Inc.,Pharmaceuticals,0001551152,2018,10329000000.0,10329.0,10.329,ResearchAndDevelopmentExpenseExcludingAcquiredInProcessCost,10-K,2019-02-27,https://data.sec.gov/api/xbrl/companyfacts/CIK0001551152.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0001551152_d09c8e0fc15e1722.json
ABBV,AbbVie Inc.,Pharmaceuticals,0001551152,2019,6407000000.0,6407.0,6.407,ResearchAndDevelopmentExpenseExcludingAcquiredInProcessCost,10-K,2020-02-21,https://data.sec.gov/api/xbrl/companyfacts/CIK0001551152.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0001551152_d09c8e0fc15e1722.json
ABBV,AbbVie Inc.,Pharmaceuticals,0001551152,2020,6557000000.0,6557.0,6.557,ResearchAndDevelopmentExpenseExcludingAcquiredInProcessCost,10-K,2021-02-19,https://data.sec.gov/api/xbrl/companyfacts/CIK0001551152.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0001551152_d09c8e0fc15e1722.json
ABBV,AbbVie Inc.,Pharmaceuticals,0001551152,2021,7084000000.0,7084.0,7.084,ResearchAndDevelopmentExpenseExcludingAcquiredInProcessCost,10-K,2022-02-18,https://data.sec.gov/api/xbrl/companyfacts/CIK0001551152.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0001551152_d09c8e0fc15e1722.json
ABBV,AbbVie Inc.,Pharmaceuticals,0001551152,2022,6510000000.0,6510.0,6.51,ResearchAndDevelopmentExpenseExcludingAcquiredInProcessCost,10-K,2023-02-17,https://data.sec.gov/api/xbrl/companyfacts/CIK0001551152.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0001551152_d09c8e0fc15e1722.json
ABBV,AbbVie Inc.,Pharmaceuticals,0001551152,2023,7675000000.0,7675.0,7.675,ResearchAndDevelopmentExpenseExcludingAcquiredInProcessCost,10-K,2024-02-20,https://data.sec.gov/api/xbrl/companyfacts/CIK0001551152.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0001551152_d09c8e0fc15e1722.json
ABBV,AbbVie Inc.,Pharmaceuticals,0001551152,2024,12791000000.0,12791.0,12.791,ResearchAndDevelopmentExpenseExcludingAcquiredInProcessCost,10-K,2025-02-14,https://data.sec.gov/api/xbrl/companyfacts/CIK0001551152.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0001551152_d09c8e0fc15e1722.json
ABBV,AbbVie Inc.,Pharmaceuticals,0001551152,2025,9096000000.0,9096.0,9.096,ResearchAndDevelopmentExpenseExcludingAcquiredInProcessCost,10-K,2026-02-20,https://data.sec.gov/api/xbrl/companyfacts/CIK0001551152.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0001551152_d09c8e0fc15e1722.json
ABT,Abbott Laboratories,Medical Devices,0000001800,2019,2440000000.0,2440.0,2.44,ResearchAndDevelopmentExpense,10-K,2020-02-21,https://data.sec.gov/api/xbrl/companyfacts/CIK0000001800.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0000001800_6bdabd060537624b.json
ABT,Abbott Laboratories,Medical Devices,0000001800,2020,2420000000.0,2420.0,2.42,ResearchAndDevelopmentExpense,10-K,2021-02-19,https://data.sec.gov/api/xbrl/companyfacts/CIK0000001800.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0000001800_6bdabd060537624b.json
ABT,Abbott Laboratories,Medical Devices,0000001800,2021,2742000000.0,2742.0,2.742,ResearchAndDevelopmentExpense,10-K,2022-02-18,https://data.sec.gov/api/xbrl/companyfacts/CIK0000001800.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0000001800_6bdabd060537624b.json
ABT,Abbott Laboratories,Medical Devices,0000001800,2022,2888000000.0,2888.0,2.888,ResearchAndDevelopmentExpense,10-K,2023-02-17,https://data.sec.gov/api/xbrl/companyfacts/CIK0000001800.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0000001800_6bdabd060537624b.json
ABT,Abbott Laboratories,Medical Devices,0000001800,2023,2741000000.0,2741.0,2.741,ResearchAndDevelopmentExpense,10-K,2024-02-16,https://data.sec.gov/api/xbrl/companyfacts/CIK0000001800.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0000001800_6bdabd060537624b.json
ABT,Abbott Laboratories,Medical Devices,0000001800,2024,2844000000.0,2844.0,2.844,ResearchAndDevelopmentExpense,10-K,2025-02-21,https://data.sec.gov/api/xbrl/companyfacts/CIK0000001800.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0000001800_6bdabd060537624b.json
ABT,Abbott Laboratories,Medical Devices,0000001800,2025,2942000000.0,2942.0,2.942,ResearchAndDevelopmentExpense,10-K,2026-02-20,https://data.sec.gov/api/xbrl/companyfacts/CIK0000001800.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0000001800_6bdabd060537624b.json
ALNY,"Alnylam Pharmaceuticals, Inc.",Biotechnology,0001178670,2010,106384000.0,106.384,0.106384,ResearchAndDevelopmentExpense,10-K,2011-02-18,https://data.sec.gov/api/xbrl/companyfacts/CIK0001178670.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0001178670_69e85cadbacd1bb3.json
ALNY,"Alnylam Pharmaceuticals, Inc.",Biotechnology,0001178670,2011,99295000.0,99.295,0.099295,ResearchAndDevelopmentExpense,10-K,2012-02-13,https://data.sec.gov/api/xbrl/companyfacts/CIK0001178670.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0001178670_69e85cadbacd1bb3.json
ALNY,"Alnylam Pharmaceuticals, Inc.",Biotechnology,0001178670,2012,86569000.0,86.569,0.086569,ResearchAndDevelopmentExpense,10-K,2013-02-19,https://data.sec.gov/api/xbrl/companyfacts/CIK0001178670.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0001178670_69e85cadbacd1bb3.json
ALNY,"Alnylam Pharmaceuticals, Inc.",Biotechnology,0001178670,2013,112957000.0,112.957,0.112957,ResearchAndDevelopmentExpense,10-K,2014-02-20,https://data.sec.gov/api/xbrl/companyfacts/CIK0001178670.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0001178670_69e85cadbacd1bb3.json
ALNY,"Alnylam Pharmaceuticals, Inc.",Biotechnology,0001178670,2014,190249000.0,190.249,0.190249,ResearchAndDevelopmentExpense,10-K,2015-02-13,https://data.sec.gov/api/xbrl/companyfacts/CIK0001178670.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0001178670_69e85cadbacd1bb3.json
ALNY,"Alnylam Pharmaceuticals, Inc.",Biotechnology,0001178670,2015,276495000.0,276.495,0.276495,ResearchAndDevelopmentExpense,10-K,2016-02-12,https://data.sec.gov/api/xbrl/companyfacts/CIK0001178670.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0001178670_69e85cadbacd1bb3.json
ALNY,"Alnylam Pharmaceuticals, Inc.",Biotechnology,0001178670,2016,382392000.0,382.392,0.382392,ResearchAndDevelopmentExpense,10-K,2017-02-15,https://data.sec.gov/api/xbrl/companyfacts/CIK0001178670.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0001178670_69e85cadbacd1bb3.json
ALNY,"Alnylam Pharmaceuticals, Inc.",Biotechnology,0001178670,2017,390635000.0,390.635,0.390635,ResearchAndDevelopmentExpense,10-K,2018-02-15,https://data.sec.gov/api/xbrl/companyfacts/CIK0001178670.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0001178670_69e85cadbacd1bb3.json
ALNY,"Alnylam Pharmaceuticals, Inc.",Biotechnology,0001178670,2018,505420000.0,505.42,0.50542,ResearchAndDevelopmentExpense,10-K,2019-02-14,https://data.sec.gov/api/xbrl/companyfacts/CIK0001178670.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0001178670_69e85cadbacd1bb3.json
ALNY,"Alnylam Pharmaceuticals, Inc.",Biotechnology,0001178670,2019,655114000.0,655.114,0.655114,ResearchAndDevelopmentExpense,10-K,2020-02-13,https://data.sec.gov/api/xbrl/companyfacts/CIK0001178670.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0001178670_69e85cadbacd1bb3.json
ALNY,"Alnylam Pharmaceuticals, Inc.",Biotechnology,0001178670,2020,654819000.0,654.819,0.654819,ResearchAndDevelopmentExpense,10-K,2021-02-11,https://data.sec.gov/api/xbrl/companyfacts/CIK0001178670.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0001178670_69e85cadbacd1bb3.json
ALNY,"Alnylam Pharmaceuticals, Inc.",Biotechnology,0001178670,2021,792156000.0,792.156,0.792156,ResearchAndDevelopmentExpense,10-K,2022-02-10,https://data.sec.gov/api/xbrl/companyfacts/CIK0001178670.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0001178670_69e85cadbacd1bb3.json
ALNY,"Alnylam Pharmaceuticals, Inc.",Biotechnology,0001178670,2022,883015000.0,883.015,0.883015,ResearchAndDevelopmentExpense,10-K,2023-02-23,https://data.sec.gov/api/xbrl/companyfacts/CIK0001178670.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0001178670_69e85cadbacd1bb3.json
