ticker,company_name,industry_group,cik,fiscal_year,rd_expense_usd,rd_expense_musd,sec_fact_tag,form,filed_date,source_url,crawl_time,raw_file
PFE,Pfizer Inc.,Pharmaceuticals,0000078003,2009,7845000000.0,7845.0,ResearchAndDevelopmentExpenseExcludingAcquiredInProcessCost,10-K,2010-02-26,https://data.sec.gov/api/xbrl/companyfacts/CIK0000078003.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0000078003_0af9c854dedb9d69.json
PFE,Pfizer Inc.,Pharmaceuticals,0000078003,2010,9413000000.0,9413.0,ResearchAndDevelopmentExpenseExcludingAcquiredInProcessCost,10-K,2011-02-28,https://data.sec.gov/api/xbrl/companyfacts/CIK0000078003.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0000078003_0af9c854dedb9d69.json
PFE,Pfizer Inc.,Pharmaceuticals,0000078003,2011,9112000000.0,9112.0,ResearchAndDevelopmentExpenseExcludingAcquiredInProcessCost,10-K,2012-02-28,https://data.sec.gov/api/xbrl/companyfacts/CIK0000078003.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0000078003_0af9c854dedb9d69.json
PFE,Pfizer Inc.,Pharmaceuticals,0000078003,2012,7870000000.0,7870.0,ResearchAndDevelopmentExpenseExcludingAcquiredInProcessCost,10-K,2013-02-28,https://data.sec.gov/api/xbrl/companyfacts/CIK0000078003.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0000078003_0af9c854dedb9d69.json
PFE,Pfizer Inc.,Pharmaceuticals,0000078003,2013,6678000000.0,6678.0,ResearchAndDevelopmentExpenseExcludingAcquiredInProcessCost,10-K,2014-02-28,https://data.sec.gov/api/xbrl/companyfacts/CIK0000078003.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0000078003_0af9c854dedb9d69.json
PFE,Pfizer Inc.,Pharmaceuticals,0000078003,2014,8393000000.0,8393.0,ResearchAndDevelopmentExpenseExcludingAcquiredInProcessCost,10-K,2015-02-27,https://data.sec.gov/api/xbrl/companyfacts/CIK0000078003.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0000078003_0af9c854dedb9d69.json
PFE,Pfizer Inc.,Pharmaceuticals,0000078003,2015,7690000000.0,7690.0,ResearchAndDevelopmentExpenseExcludingAcquiredInProcessCost,10-K,2016-02-29,https://data.sec.gov/api/xbrl/companyfacts/CIK0000078003.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0000078003_0af9c854dedb9d69.json
PFE,Pfizer Inc.,Pharmaceuticals,0000078003,2016,7872000000.0,7872.0,ResearchAndDevelopmentExpenseExcludingAcquiredInProcessCost,10-K,2017-02-23,https://data.sec.gov/api/xbrl/companyfacts/CIK0000078003.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0000078003_0af9c854dedb9d69.json
PFE,Pfizer Inc.,Pharmaceuticals,0000078003,2017,7657000000.0,7657.0,ResearchAndDevelopmentExpenseExcludingAcquiredInProcessCost,10-K,2018-02-22,https://data.sec.gov/api/xbrl/companyfacts/CIK0000078003.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0000078003_0af9c854dedb9d69.json
PFE,Pfizer Inc.,Pharmaceuticals,0000078003,2018,8006000000.0,8006.0,ResearchAndDevelopmentExpenseExcludingAcquiredInProcessCost,10-K,2019-02-28,https://data.sec.gov/api/xbrl/companyfacts/CIK0000078003.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0000078003_0af9c854dedb9d69.json
PFE,Pfizer Inc.,Pharmaceuticals,0000078003,2019,8650000000.0,8650.0,ResearchAndDevelopmentExpenseExcludingAcquiredInProcessCost,10-K,2020-02-27,https://data.sec.gov/api/xbrl/companyfacts/CIK0000078003.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0000078003_0af9c854dedb9d69.json
PFE,Pfizer Inc.,Pharmaceuticals,0000078003,2020,9405000000.0,9405.0,ResearchAndDevelopmentExpenseExcludingAcquiredInProcessCost,10-K,2021-02-25,https://data.sec.gov/api/xbrl/companyfacts/CIK0000078003.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0000078003_0af9c854dedb9d69.json
PFE,Pfizer Inc.,Pharmaceuticals,0000078003,2021,13829000000.0,13829.0,ResearchAndDevelopmentExpenseExcludingAcquiredInProcessCost,10-K,2022-02-24,https://data.sec.gov/api/xbrl/companyfacts/CIK0000078003.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0000078003_0af9c854dedb9d69.json
PFE,Pfizer Inc.,Pharmaceuticals,0000078003,2022,11428000000.0,11428.0,ResearchAndDevelopmentExpenseExcludingAcquiredInProcessCost,10-K,2023-02-23,https://data.sec.gov/api/xbrl/companyfacts/CIK0000078003.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0000078003_0af9c854dedb9d69.json
PFE,Pfizer Inc.,Pharmaceuticals,0000078003,2023,10679000000.0,10679.0,ResearchAndDevelopmentExpenseExcludingAcquiredInProcessCost,10-K,2024-02-22,https://data.sec.gov/api/xbrl/companyfacts/CIK0000078003.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0000078003_0af9c854dedb9d69.json
PFE,Pfizer Inc.,Pharmaceuticals,0000078003,2024,10822000000.0,10822.0,ResearchAndDevelopmentExpenseExcludingAcquiredInProcessCost,10-K,2025-02-27,https://data.sec.gov/api/xbrl/companyfacts/CIK0000078003.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0000078003_0af9c854dedb9d69.json
PFE,Pfizer Inc.,Pharmaceuticals,0000078003,2025,10437000000.0,10437.0,ResearchAndDevelopmentExpenseExcludingAcquiredInProcessCost,10-K,2026-02-26,https://data.sec.gov/api/xbrl/companyfacts/CIK0000078003.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0000078003_0af9c854dedb9d69.json
MRK,"Merck & Co., Inc.",Pharmaceuticals,0000310158,2009,5845000000.0,5845.0,ResearchAndDevelopmentExpense,10-K,2010-03-01,https://data.sec.gov/api/xbrl/companyfacts/CIK0000310158.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0000310158_343ccc2ee8d5eba1.json
MRK,"Merck & Co., Inc.",Pharmaceuticals,0000310158,2010,10991000000.0,10991.0,ResearchAndDevelopmentExpense,10-K,2011-02-28,https://data.sec.gov/api/xbrl/companyfacts/CIK0000310158.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0000310158_343ccc2ee8d5eba1.json
MRK,"Merck & Co., Inc.",Pharmaceuticals,0000310158,2011,8467000000.0,8467.0,ResearchAndDevelopmentExpense,10-K,2012-02-28,https://data.sec.gov/api/xbrl/companyfacts/CIK0000310158.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0000310158_343ccc2ee8d5eba1.json
MRK,"Merck & Co., Inc.",Pharmaceuticals,0000310158,2012,8168000000.0,8168.0,ResearchAndDevelopmentExpense,10-K,2013-02-28,https://data.sec.gov/api/xbrl/companyfacts/CIK0000310158.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0000310158_343ccc2ee8d5eba1.json
MRK,"Merck & Co., Inc.",Pharmaceuticals,0000310158,2013,7503000000.0,7503.0,ResearchAndDevelopmentExpense,10-K,2014-02-27,https://data.sec.gov/api/xbrl/companyfacts/CIK0000310158.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0000310158_343ccc2ee8d5eba1.json
MRK,"Merck & Co., Inc.",Pharmaceuticals,0000310158,2014,7180000000.0,7180.0,ResearchAndDevelopmentExpense,10-K,2015-02-27,https://data.sec.gov/api/xbrl/companyfacts/CIK0000310158.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0000310158_343ccc2ee8d5eba1.json
MRK,"Merck & Co., Inc.",Pharmaceuticals,0000310158,2015,6704000000.0,6704.0,ResearchAndDevelopmentExpense,10-K,2016-02-26,https://data.sec.gov/api/xbrl/companyfacts/CIK0000310158.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0000310158_343ccc2ee8d5eba1.json
MRK,"Merck & Co., Inc.",Pharmaceuticals,0000310158,2016,10124000000.0,10124.0,ResearchAndDevelopmentExpense,10-K,2017-02-28,https://data.sec.gov/api/xbrl/companyfacts/CIK0000310158.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0000310158_343ccc2ee8d5eba1.json
MRK,"Merck & Co., Inc.",Pharmaceuticals,0000310158,2017,10208000000.0,10208.0,ResearchAndDevelopmentExpense,10-K,2018-02-27,https://data.sec.gov/api/xbrl/companyfacts/CIK0000310158.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0000310158_343ccc2ee8d5eba1.json
MRK,"Merck & Co., Inc.",Pharmaceuticals,0000310158,2018,9752000000.0,9752.0,ResearchAndDevelopmentExpense,10-K,2019-02-27,https://data.sec.gov/api/xbrl/companyfacts/CIK0000310158.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0000310158_343ccc2ee8d5eba1.json
MRK,"Merck & Co., Inc.",Pharmaceuticals,0000310158,2019,9872000000.0,9872.0,ResearchAndDevelopmentExpense,10-K,2020-02-26,https://data.sec.gov/api/xbrl/companyfacts/CIK0000310158.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0000310158_343ccc2ee8d5eba1.json
MRK,"Merck & Co., Inc.",Pharmaceuticals,0000310158,2020,13558000000.0,13558.0,ResearchAndDevelopmentExpense,10-K,2021-02-25,https://data.sec.gov/api/xbrl/companyfacts/CIK0000310158.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0000310158_343ccc2ee8d5eba1.json
MRK,"Merck & Co., Inc.",Pharmaceuticals,0000310158,2021,12245000000.0,12245.0,ResearchAndDevelopmentExpense,10-K,2022-02-25,https://data.sec.gov/api/xbrl/companyfacts/CIK0000310158.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0000310158_343ccc2ee8d5eba1.json
MRK,"Merck & Co., Inc.",Pharmaceuticals,0000310158,2022,13548000000.0,13548.0,ResearchAndDevelopmentExpense,10-K,2023-02-24,https://data.sec.gov/api/xbrl/companyfacts/CIK0000310158.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0000310158_343ccc2ee8d5eba1.json
MRK,"Merck & Co., Inc.",Pharmaceuticals,0000310158,2023,30531000000.0,30531.0,ResearchAndDevelopmentExpense,10-K,2024-02-26,https://data.sec.gov/api/xbrl/companyfacts/CIK0000310158.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0000310158_343ccc2ee8d5eba1.json
MRK,"Merck & Co., Inc.",Pharmaceuticals,0000310158,2024,17938000000.0,17938.0,ResearchAndDevelopmentExpense,10-K,2025-02-25,https://data.sec.gov/api/xbrl/companyfacts/CIK0000310158.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0000310158_343ccc2ee8d5eba1.json
MRK,"Merck & Co., Inc.",Pharmaceuticals,0000310158,2025,15789000000.0,15789.0,ResearchAndDevelopmentExpense,10-K,2026-02-24,https://data.sec.gov/api/xbrl/companyfacts/CIK0000310158.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0000310158_343ccc2ee8d5eba1.json
JNJ,Johnson & Johnson,Pharmaceuticals,0000200406,2023,483000000.0,483.0,ResearchAndDevelopmentExpense,10-K,2024-02-16,https://data.sec.gov/api/xbrl/companyfacts/CIK0000200406.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0000200406_76c5b41ceb787a69.json
JNJ,Johnson & Johnson,Pharmaceuticals,0000200406,2024,1841000000.0,1841.0,ResearchAndDevelopmentExpense,10-K,2025-02-13,https://data.sec.gov/api/xbrl/companyfacts/CIK0000200406.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0000200406_76c5b41ceb787a69.json
JNJ,Johnson & Johnson,Pharmaceuticals,0000200406,2025,109000000.0,109.0,ResearchAndDevelopmentExpense,10-K,2026-02-11,https://data.sec.gov/api/xbrl/companyfacts/CIK0000200406.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0000200406_76c5b41ceb787a69.json
ABBV,AbbVie Inc.,Pharmaceuticals,0001551152,2013,2855000000.0,2855.0,ResearchAndDevelopmentExpenseExcludingAcquiredInProcessCost,10-K,2014-02-21,https://data.sec.gov/api/xbrl/companyfacts/CIK0001551152.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0001551152_d09c8e0fc15e1722.json
ABBV,AbbVie Inc.,Pharmaceuticals,0001551152,2014,3297000000.0,3297.0,ResearchAndDevelopmentExpenseExcludingAcquiredInProcessCost,10-K,2015-02-20,https://data.sec.gov/api/xbrl/companyfacts/CIK0001551152.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0001551152_d09c8e0fc15e1722.json
ABBV,AbbVie Inc.,Pharmaceuticals,0001551152,2015,4285000000.0,4285.0,ResearchAndDevelopmentExpenseExcludingAcquiredInProcessCost,10-K,2016-02-19,https://data.sec.gov/api/xbrl/companyfacts/CIK0001551152.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0001551152_d09c8e0fc15e1722.json
ABBV,AbbVie Inc.,Pharmaceuticals,0001551152,2016,4366000000.0,4366.0,ResearchAndDevelopmentExpenseExcludingAcquiredInProcessCost,10-K,2017-02-17,https://data.sec.gov/api/xbrl/companyfacts/CIK0001551152.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0001551152_d09c8e0fc15e1722.json
ABBV,AbbVie Inc.,Pharmaceuticals,0001551152,2017,4982000000.0,4982.0,ResearchAndDevelopmentExpenseExcludingAcquiredInProcessCost,10-K,2018-02-16,https://data.sec.gov/api/xbrl/companyfacts/CIK0001551152.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0001551152_d09c8e0fc15e1722.json
ABBV,AbbVie Inc.,Pharmaceuticals,0001551152,2018,10329000000.0,10329.0,ResearchAndDevelopmentExpenseExcludingAcquiredInProcessCost,10-K,2019-02-27,https://data.sec.gov/api/xbrl/companyfacts/CIK0001551152.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0001551152_d09c8e0fc15e1722.json
ABBV,AbbVie Inc.,Pharmaceuticals,0001551152,2019,6407000000.0,6407.0,ResearchAndDevelopmentExpenseExcludingAcquiredInProcessCost,10-K,2020-02-21,https://data.sec.gov/api/xbrl/companyfacts/CIK0001551152.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0001551152_d09c8e0fc15e1722.json
ABBV,AbbVie Inc.,Pharmaceuticals,0001551152,2020,6557000000.0,6557.0,ResearchAndDevelopmentExpenseExcludingAcquiredInProcessCost,10-K,2021-02-19,https://data.sec.gov/api/xbrl/companyfacts/CIK0001551152.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0001551152_d09c8e0fc15e1722.json
ABBV,AbbVie Inc.,Pharmaceuticals,0001551152,2021,7084000000.0,7084.0,ResearchAndDevelopmentExpenseExcludingAcquiredInProcessCost,10-K,2022-02-18,https://data.sec.gov/api/xbrl/companyfacts/CIK0001551152.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0001551152_d09c8e0fc15e1722.json
ABBV,AbbVie Inc.,Pharmaceuticals,0001551152,2022,6510000000.0,6510.0,ResearchAndDevelopmentExpenseExcludingAcquiredInProcessCost,10-K,2023-02-17,https://data.sec.gov/api/xbrl/companyfacts/CIK0001551152.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0001551152_d09c8e0fc15e1722.json
ABBV,AbbVie Inc.,Pharmaceuticals,0001551152,2023,7675000000.0,7675.0,ResearchAndDevelopmentExpenseExcludingAcquiredInProcessCost,10-K,2024-02-20,https://data.sec.gov/api/xbrl/companyfacts/CIK0001551152.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0001551152_d09c8e0fc15e1722.json
ABBV,AbbVie Inc.,Pharmaceuticals,0001551152,2024,12791000000.0,12791.0,ResearchAndDevelopmentExpenseExcludingAcquiredInProcessCost,10-K,2025-02-14,https://data.sec.gov/api/xbrl/companyfacts/CIK0001551152.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0001551152_d09c8e0fc15e1722.json
ABBV,AbbVie Inc.,Pharmaceuticals,0001551152,2025,9096000000.0,9096.0,ResearchAndDevelopmentExpenseExcludingAcquiredInProcessCost,10-K,2026-02-20,https://data.sec.gov/api/xbrl/companyfacts/CIK0001551152.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0001551152_d09c8e0fc15e1722.json
LLY,Eli Lilly and Company,Pharmaceuticals,0000059478,2009,4326500000.0,4326.5,ResearchAndDevelopmentExpense,10-K,2010-02-22,https://data.sec.gov/api/xbrl/companyfacts/CIK0000059478.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0000059478_4a13ca44150fa50c.json
LLY,Eli Lilly and Company,Pharmaceuticals,0000059478,2010,4884200000.0,4884.2,ResearchAndDevelopmentExpense,10-K,2011-02-22,https://data.sec.gov/api/xbrl/companyfacts/CIK0000059478.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0000059478_4a13ca44150fa50c.json
LLY,Eli Lilly and Company,Pharmaceuticals,0000059478,2011,5020800000.0,5020.8,ResearchAndDevelopmentExpense,10-K,2012-02-24,https://data.sec.gov/api/xbrl/companyfacts/CIK0000059478.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0000059478_4a13ca44150fa50c.json
LLY,Eli Lilly and Company,Pharmaceuticals,0000059478,2012,5278100000.0,5278.1,ResearchAndDevelopmentExpense,10-K,2013-02-21,https://data.sec.gov/api/xbrl/companyfacts/CIK0000059478.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0000059478_4a13ca44150fa50c.json
LLY,Eli Lilly and Company,Pharmaceuticals,0000059478,2013,5531300000.0,5531.3,ResearchAndDevelopmentExpense,10-K,2014-02-19,https://data.sec.gov/api/xbrl/companyfacts/CIK0000059478.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0000059478_4a13ca44150fa50c.json
LLY,Eli Lilly and Company,Pharmaceuticals,0000059478,2014,4733600000.0,4733.6,ResearchAndDevelopmentExpense,10-K,2015-02-19,https://data.sec.gov/api/xbrl/companyfacts/CIK0000059478.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0000059478_4a13ca44150fa50c.json
LLY,Eli Lilly and Company,Pharmaceuticals,0000059478,2015,4796400000.0,4796.4,ResearchAndDevelopmentExpense,10-K,2016-02-19,https://data.sec.gov/api/xbrl/companyfacts/CIK0000059478.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0000059478_4a13ca44150fa50c.json
LLY,Eli Lilly and Company,Pharmaceuticals,0000059478,2016,5243900000.0,5243.9,ResearchAndDevelopmentExpense,10-K,2017-02-21,https://data.sec.gov/api/xbrl/companyfacts/CIK0000059478.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0000059478_4a13ca44150fa50c.json
LLY,Eli Lilly and Company,Pharmaceuticals,0000059478,2017,5281800000.0,5281.8,ResearchAndDevelopmentExpense,10-K,2018-02-20,https://data.sec.gov/api/xbrl/companyfacts/CIK0000059478.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0000059478_4a13ca44150fa50c.json
LLY,Eli Lilly and Company,Pharmaceuticals,0000059478,2018,5307100000.0,5307.1,ResearchAndDevelopmentExpense,10-K,2019-02-19,https://data.sec.gov/api/xbrl/companyfacts/CIK0000059478.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0000059478_4a13ca44150fa50c.json
LLY,Eli Lilly and Company,Pharmaceuticals,0000059478,2019,5595000000.0,5595.0,ResearchAndDevelopmentExpense,10-K,2020-02-19,https://data.sec.gov/api/xbrl/companyfacts/CIK0000059478.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0000059478_4a13ca44150fa50c.json
LLY,Eli Lilly and Company,Pharmaceuticals,0000059478,2020,6085700000.0,6085.7,ResearchAndDevelopmentExpense,10-K,2021-02-17,https://data.sec.gov/api/xbrl/companyfacts/CIK0000059478.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0000059478_4a13ca44150fa50c.json
